386 tensor(0.0119, device='cuda:0')
387 tensor(0.0117, device='cuda:0')
388 tensor(0.0119, device='cuda:0')
389 tensor(0.0118, device='cuda:0')
390 tensor(0.0120, device='cuda:0')
391 tensor(0.0118, device='cuda:0')
392 tensor(0.0119, device='cuda:0')
393 tensor(0.0118, device='cuda:0')
394 tensor(0.0119, device='cuda:0')
395 tensor(0.0118, device='cuda:0')
396 tensor(0.0118, device='cuda:0')
397 tensor(0.0118, device='cuda:0')
398 tensor(0.0119, device='cuda:0')
399 tensor(0.0118, device='cuda:0')
